title,address
https://newyork.craigslist.org/mnh/egr/d/jr-estimator-quantity-surveyor/6316989125.html,JR Estimator/Quantity Surveyor,
https://newyork.craigslist.org/mnh/egr/d/architectural-interior-design/6316946265.html,Architectural / Interior Design Internship,Flatiron
https://newyork.craigslist.org/lgi/egr/d/architectural-draftsperson/6316871692.html,Architectural Draftsperson/Project Manager,"Huntington Station, NY"
https://newyork.craigslist.org/brk/egr/d/seeking-full-time-structural/6316788103.html,Seeking Full Time Structural Engineer,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/assistant-project-manager-for/6316699356.html,Assistant Project Manager for Design Company,Midtown East
https://newyork.craigslist.org/brk/egr/d/project-engineer-for/6316591317.html,Project Engineer For Construction,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/sr-electrical-engineer/6316366688.html,Sr. Electrical Engineer,NYC
https://newyork.craigslist.org/que/egr/d/experience-construction/6316232075.html,EXPERIENCE CONSTRUCTION ENGINEER NEEDED FOR BUSY QUEENS OFFICE,KEW GARDENS
https://newyork.craigslist.org/brx/egr/d/construction-estimator/6315589624.html,Construction Estimator,bronx
https://newyork.craigslist.org/wch/egr/d/autocad-draftsman/6315484859.html,AUTOCAD DRAFTSMAN,New Rochelle
https://newyork.craigslist.org/mnh/egr/d/architectural-draftpersons/6315427473.html,Architectural Draftpersons & Office Assistant,Chinatown / Lit Italy
https://newyork.craigslist.org/mnh/egr/d/bim-cad-technician/6315394313.html,BIM/ CAD Technician,Midtown
https://newyork.craigslist.org/mnh/egr/d/trainee-project-manager/6315375406.html,Trainee Project Manager,Chelsea
https://newyork.craigslist.org/que/egr/d/construction-estimator/6315259744.html,Construction Estimator,5 Boros
https://newyork.craigslist.org/mnh/egr/d/executive-administrator/6315158061.html,Executive Administrator,Midtown
https://newyork.craigslist.org/mnh/egr/d/project-management-logistics/6315135801.html,Project Management/Logistics-Furniture Company,Upper East Side
https://newyork.craigslist.org/mnh/egr/d/engineer/6315073072.html,Engineer,Chelsea
https://newyork.craigslist.org/mnh/egr/d/junior-architect/6315040944.html,Junior Architect,Flatiron
https://newyork.craigslist.org/que/egr/d/technical-director-pe/6314978739.html,"Technical Director, P.E.","Queens, NY"
https://newyork.craigslist.org/mnh/egr/d/mep-electrical-engineer-low/6314966887.html,MEP Electrical Engineer -Low Voltage/IT/AV- 3+ years,Midtown West
https://newyork.craigslist.org/mnh/egr/d/architectural-firm-seeking/6314956813.html,Architectural Firm Seeking DOB Class 2 Filing Representative,Midtown West
https://newyork.craigslist.org/que/egr/d/mechanical-engineer/6314851303.html,Mechanical Engineer,
https://newyork.craigslist.org/que/egr/d/project-engineer-nights/6314837149.html,Project Engineer (NIGHTS),
https://newyork.craigslist.org/mnh/egr/d/expediter-codes-zoning/6314829864.html,Expediter - Codes/Zoning,Midtown
https://newyork.craigslist.org/que/egr/d/project-manager/6314828743.html,Project Manager,Queens
https://newyork.craigslist.org/que/egr/d/estimator-asst-project-manager/6314824941.html,Estimator/Asst. Project Manager,Queens
https://newyork.craigslist.org/mnh/egr/d/architectural-design-firm/6314110451.html,Architectural Design Firm Seeking Experienced Associate Architect,Midtown West
https://newyork.craigslist.org/mnh/egr/d/junior-architect-restoration/6313948571.html,Junior Architect - Restoration Firm,Union Square
https://newyork.craigslist.org/mnh/egr/d/junior-architect/6313693214.html,Junior Architect,Chinatown / Lit Italy
https://newyork.craigslist.org/brk/egr/d/bklyn-based-design/6313631160.html,BKLYN Based Design/Construction Firm Seeks Sr. Construction Mgr.,"Gowanus, Brooklyn"
https://newyork.craigslist.org/mnh/egr/d/energy-efficiency-engineers/6313441812.html,Energy Efficiency Engineers,Midtown East
https://newyork.craigslist.org/mnh/egr/d/mid-level-mechanical/6313421531.html,Mid Level Mechanical Engineers (2+ Years) with Project Management,Midtown West
https://newyork.craigslist.org/mnh/egr/d/sr-project-plumbing-and-fp/6313420132.html,Sr. Project Plumbing and FP Engineers,Midtown West
https://newyork.craigslist.org/mnh/egr/d/sr-mechanical-hvac-engineers/6313418074.html,Sr. Mechanical/HVAC Engineers,Midtown West
https://newyork.craigslist.org/mnh/egr/d/job-captain-intermediate/6312921492.html,JOB CAPTAIN / INTERMEDIATE ARCHITECT,Chelsea
https://newyork.craigslist.org/mnh/egr/d/design-architect/6312649099.html,Design Architect,Midtown West
https://newyork.craigslist.org/mnh/egr/d/senior-technical-architect/6312596118.html,Senior Technical Architect,Midtown West
https://newyork.craigslist.org/mnh/egr/d/intern-level-architect-needed/6312575394.html,Intern Level Architect needed,Upper West Side
https://newyork.craigslist.org/mnh/egr/d/construction-project-manager/6312565843.html,Construction Project Manager,
https://newyork.craigslist.org/brk/egr/d/nys-licensed-design/6312483310.html,"NYS Licensed Design Professional, Architect or Professional Engineer",Brooklyn
https://newyork.craigslist.org/mnh/egr/d/nyc-dob-filing-representative/6312411033.html,NYC DOB Filing Representative Needed ASAP,Financial District
https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6312348353.html,Intermediate Architect,Midtown West
https://newyork.craigslist.org/wch/egr/d/industrial-engineer/6312325840.html,Industrial Engineer,Mount Vernon
https://newyork.craigslist.org/mnh/egr/d/electrical-engineers-and/6312191519.html,Electrical Engineers and Building Inspectors,Financial District
https://newyork.craigslist.org/mnh/egr/d/mechanical-engineers-and/6312188422.html,Mechanical Engineers and Building Inspectors,Financial District
https://newyork.craigslist.org/stn/egr/d/assistant-project-manager/6312151092.html,Assistant Project Manager - General Contractor,Staten Island
https://newyork.craigslist.org/mnh/egr/d/project-manager-construction/6312140735.html,Project Manager - Construction Manager,Greenwich Village
https://newyork.craigslist.org/mnh/egr/d/construction-renovation/6312095808.html,Construction Renovation Foreman - Super - Assistant Project Manager,Queens-Brooklyn - NYC
https://newyork.craigslist.org/mnh/egr/d/autocad-drafter-renderer/6311745140.html,AutoCAD Drafter/Renderer,Midtown
https://newyork.craigslist.org/brk/egr/d/electrical-design-engineer/6311691690.html,Electrical Design Engineer,Brooklyn
https://newyork.craigslist.org/brk/egr/d/filing-rep-class-2-for-nyc/6311488257.html,Filing rep. (class 2) For NYC dept. Of buildings,Brooklyn
https://newyork.craigslist.org/brk/egr/d/architectural-draftsperson/6311486822.html,Architectural Draftsperson,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/entry-level-technical/6311320588.html,Entry Level Technical Designer / CAD,Flatiron
https://newyork.craigslist.org/mnh/egr/d/floor-plan-measurer-as-built/6311304257.html,Floor Plan Measurer: AS-BUILT Drawings $35/hr (New York City),New York City
https://newyork.craigslist.org/wch/egr/d/junior-architect/6310981771.html,Junior Architect,"Pleasantville, NY"
https://newyork.craigslist.org/brk/egr/d/construction-estimator/6310937800.html,Construction Estimator - Assistant Estimator,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/senior-intermediate/6310821867.html,Senior/Intermediate Architects needed for boutique design studio,Chelsea
https://newyork.craigslist.org/mnh/egr/d/job-captain-intermediate/6310741355.html,Job Captain/Intermediate Architect - Immediate Hire,Flatiron
https://newyork.craigslist.org/mnh/egr/d/expeditor-in-architecture/6310701861.html,Expeditor in Architecture field,Flatiron
https://newyork.craigslist.org/brk/egr/d/licensed-professional/6310455722.html,"Licensed Professional Engineer (PE), Registered Architect (RA) WANTED!",NYC 5 Boroughs
https://newyork.craigslist.org/brk/egr/d/construction-managment/6310026070.html,Construction Managment,
https://newyork.craigslist.org/que/egr/d/junior-and-intern-level/6309680165.html,Junior and Intern Level Architect,Forest Hills
https://newyork.craigslist.org/mnh/egr/d/urgent-3d-visualization-help/6309676542.html,Urgent 3d visualization help,
https://newyork.craigslist.org/que/egr/d/expeditor-class-1-2/6309568737.html,expeditor class 1-2,queens
https://newyork.craigslist.org/que/egr/d/registered-architect-or/6309411028.html,REGISTERED ARCHITECT OR PROFESSIONAL ENGINEER,5 boroughs
https://newyork.craigslist.org/brk/egr/d/construction-estimator-pt/6308906264.html,Construction Estimator PT/Work from Home,Anywhere
https://newyork.craigslist.org/que/egr/d/junior-estimator-project/6308876216.html,Junior Estimator/Project manager,Queens
https://newyork.craigslist.org/wch/egr/d/architect/6308764716.html,Architect,
https://newyork.craigslist.org/wch/egr/d/jr-architect-or-engineer/6308542213.html,Jr. Architect or Engineer,Mount Vernon
https://newyork.craigslist.org/que/egr/d/architectural-designer/6308374244.html,Architectural Designer,QUEENS
https://newyork.craigslist.org/mnh/egr/d/systems-engineers/6307755309.html,Systems Engineers,"New York, NY"
https://newyork.craigslist.org/mnh/egr/d/construction-site-safety/6307626520.html,Construction Site Safety Supervisor,
https://newyork.craigslist.org/mnh/egr/d/architectural-cad-drafters/6307583364.html,Architectural CAD Drafters,SoHo
https://newyork.craigslist.org/fct/egr/d/cad-draftsperson-civil-engrg/6307582774.html,"CAD Draftsperson, Civil Engr'g","Riverside, CT"
https://newyork.craigslist.org/mnh/egr/d/project-architect/6307580764.html,Project Architect,SoHo
https://newyork.craigslist.org/fct/egr/d/land-surveyor/6307579606.html,Land Surveyor,"Riverside, CT"
https://newyork.craigslist.org/fct/egr/d/civil-engineer/6307574058.html,Civil Engineer,"Stamford, CT"
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6307572198.html,Facade / Building Envelope Engineer or Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/exterior-restoration-recent/6307570385.html,Exterior Restoration / Recent Graduate,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6307568405.html,Facade / Building Envelope Project Architect or Engineer,TriBeCa
https://newyork.craigslist.org/lgi/egr/d/hvac-mechanical-estimator/6307309554.html,HVAC Mechanical Estimator,
https://newyork.craigslist.org/mnh/egr/d/estimator-for-mechanical/6307264732.html,"Estimator for Mechanical, Plumbing and Sprinkler Company",Lower East Side
https://newyork.craigslist.org/lgi/egr/d/jr-architect-cad-draftperson/6307245131.html,Jr. Architect/CAD Draftperson,Great Neck
https://newyork.craigslist.org/mnh/egr/d/junior-architect/6307018058.html,Junior Architect,Midtown West
https://newyork.craigslist.org/mnh/egr/d/structural-engineer-field/6306987940.html,Structural Engineer / Field Inspector,New York City
https://newyork.craigslist.org/mnh/egr/d/plumbing-fire-protection/6306952756.html,Plumbing/Fire Protection Engineer,New York City
https://newyork.craigslist.org/mnh/egr/d/assistant-sales-project/6306868825.html,Assistant Sales/Project Manager,Lower East Side
https://newyork.craigslist.org/mnh/egr/d/architect-part-time-immediate/6306450202.html,Architect - Part Time - Immediate Need (Possible for full time),Chelsea
https://newyork.craigslist.org/que/egr/d/nyc-dob-expediter-seeks-class/6306276422.html,NYC DOB Expediter Seeks Class 2 Filing Rep,All Boroughs
https://newyork.craigslist.org/mnh/egr/d/production-designer/6306210897.html,Production Designer,Midtown West
